Estación,Date,Latitud,Longitud,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B8A,NDWI,NDMI,MSI,NMDI,GVMI,SRWI,Humedad_Suelo
Batesville-8-WNW,2023-05-08,35.8201,-91.7812,0.1231,0.1113,0.114,0.0985,0.1396,0.2514,0.3012,0.317,0.3581,0.0635,0.0041,0.2639,0.1401,-0.47099772,0.9744628,0.012933754,0.98598284,0.8907277,2.7807019,0.18
Blackville-3-W,2024-03-18,33.355,-81.3279,0.3162,0.2942,0.2724,0.2883,0.2935,0.3537,0.3884,0.3941,0.423,0.2257,0.0332,0.3562,0.3009,-0.18259569,0.8446057,0.084242575,0.9152521,0.8055911,1.4467696,0.152
Asheville-13-S,2021-04-26,35.4185,-82.5567,0.1275,0.0957,0.1028,0.0797,0.1321,0.2942,0.3604,0.3539,0.3978,0.1551,0.0015,0.23,0.1122,-0.5498139,0.99155873,0.004238486,0.99487525,0.9095499,3.442607,0.268
Blackville-3-W,2024-03-11,33.355,-81.3279,0.1212,0.1042,0.1008,0.09,0.1305,0.2245,0.2487,0.2616,0.2835,0.1807,0.0109,0.2567,0.1468,-0.44370857,0.9200001,0.041666668,0.9588058,0.8425478,2.595238,0.255
Austin-33-NW,2023-10-16,30.6222,-98.0846,0.1387,0.1189,0.1116,0.1143,0.135,0.1938,0.2196,0.2295,0.2615,0.1065,0.0014,0.3061,0.1913,-0.34564647,0.9878736,0.006100218,0.99478585,0.8780279,2.0564516,0.181
Avondale-2-N,2018-06-25,39.8593,-75.7861,0.1264,0.1016,0.1005,0.076,0.1219,0.2719,0.3304,0.3033,0.3551,0.0756,0.0015,0.2624,0.1408,-0.5022288,0.9901574,0.0049455985,0.9947108,0.89877594,3.0179102,0.255
Asheville-13-S,2021-03-22,35.4185,-82.5567,0.1381,0.1255,0.1276,0.1372,0.1744,0.2606,0.3022,0.3104,0.3376,0.1635,0.0039,0.3153,0.1886,-0.4173516,0.975183,0.012564432,0.98761123,0.8899378,2.432602,0.364
Austin-33-NW,2023-09-11,30.6222,-98.0846,0.2169,0.1933,0.2001,0.2101,0.2255,0.2777,0.3207,0.3141,0.3757,0.0759,0.0082,0.3934,0.2349,-0.22170362,0.9491158,0.026106335,0.9770854,0.87248474,1.5697151,0.093
Avondale-2-N,2018-05-21,39.8593,-75.7861,0.1357,0.1084,0.1087,0.0745,0.1269,0.3145,0.3874,0.372,0.4276,0.0888,0.0039,0.1974,0.1007,-0.54774284,0.97924984,0.01048387,0.9863946,0.9036096,3.4222631,0.344
Batesville-8-WNW,2023-02-27,35.8201,-91.7812,0.1275,0.1034,0.1004,0.086,0.1361,0.2579,0.3041,0.2974,0.3287,0.1491,0.0021,0.2612,0.1509,-0.49522373,0.9859767,0.007061197,0.9925094,0.89463645,2.9621513,0.318
Austin-33-NW,2023-08-07,30.6222,-98.0846,0.1421,0.1244,0.1229,0.1398,0.165,0.198,0.2286,0.228,0.2713,0.0604,0.0015,0.3416,0.2156,-0.29951555,0.98692816,0.0065789474,0.9947469,0.87696713,1.8551668,0.097
Bedford-5-WNW,2019-06-17,38.8882,-86.5707,0.6158,0.5655,0.5474,0.5621,0.5741,0.6343,0.6821,0.6283,0.7003,0.3023,0.0301,0.4102,0.2866,-0.06881008,0.90856624,0.047907047,0.9436646,0.87127435,1.1477896,0.425
Batesville-8-WNW,2023-01-23,35.8201,-91.7812,0.1423,0.1142,0.102,0.0946,0.1452,0.2059,0.2389,0.241,0.2553,0.1346,0.0021,0.2471,0.1557,-0.4052478,0.9827231,0.008713692,0.99143213,0.87827045,2.362745,0.322
Blackville-3-W,2023-12-04,33.355,-81.3279,0.1416,0.1151,0.1051,0.1116,0.1391,0.1904,0.213,0.2375,0.2424,0.0966,0.0017,0.2894,0.166,-0.38645655,0.98578596,0.007157895,0.9935679,0.87917596,2.2597525,0.191
Blackville-3-W,2023-11-27,33.355,-81.3279,0.1501,0.1215,0.1167,0.1137,0.1337,0.1763,0.1964,0.2234,0.2313,0.112,0.0144,0.2126,0.1295,-0.31373125,0.8788898,0.06445837,0.9360568,0.80771375,1.9143101,0.2
Bedford-5-WNW,2019-05-13,38.8882,-86.5707,0.7779,0.7039,0.6663,0.7037,0.7295,0.7615,0.7968,0.755,0.8182,0.4301,0.008,0.4767,0.3516,-0.062407654,0.9790301,0.010596027,0.98709375,0.9365798,1.1331232,0.375
Batesville-8-WNW,2022-12-19,35.8201,-91.7812,0.6622,0.6362,0.5831,0.6317,0.6367,0.6422,0.6473,0.6363,0.642,0.3363,0.0138,0.4092,0.2771,-0.04362802,0.9575449,0.021687882,0.973945,0.91221917,1.0912365,0.295
Blackville-3-W,2023-10-30,33.355,-81.3279,0.1292,0.1017,0.0948,0.0795,0.1189,0.1957,0.2354,0.2367,0.2748,0.0605,0.0011,0.2509,0.1285,-0.4280543,0.9907485,0.0046472326,0.99549824,0.88205695,2.4968352,0.193
Asheville-13-S,2020-12-07,35.4185,-82.5567,0.1969,0.1469,0.1166,0.0939,0.1084,0.1527,0.1663,0.1559,0.177,0.0629,0.0029,0.106,0.0618,-0.14422019,0.963476,0.018601667,0.97809666,0.8357245,1.3370497,0.347
Blackville-3-W,2023-10-23,33.355,-81.3279,0.114,0.0886,0.0843,0.0722,0.1123,0.1898,0.2185,0.2208,0.2545,0.1158,0.0016,0.2119,0.1115,-0.4473943,0.98561156,0.0072463765,0.99263185,0.87383175,2.6192172,0.258
Austin-33-NW,2023-05-29,30.6222,-98.0846,0.1444,0.1229,0.1178,0.1056,0.1323,0.2164,0.2502,0.2437,0.2943,0.0534,0.0014,0.2992,0.1797,-0.3482711,0.9885761,0.005744768,0.9948558,0.8827718,2.0687606,0.301
Avondale-2-N,2018-02-05,39.8593,-75.7861,0.1465,0.1183,0.1017,0.1229,0.1686,0.196,0.2143,0.1982,0.2517,0.1641,0.0068,0.1926,0.1221,-0.32177395,0.9336586,0.03430878,0.9657948,0.83507687,1.9488692,0.396
Batesville-8-WNW,2022-11-14,35.8201,-91.7812,0.1351,0.1084,0.0997,0.0908,0.1426,0.2076,0.2443,0.2619,0.2777,0.1097,0.0018,0.2842,0.1769,-0.44856194,0.9863481,0.006872852,0.9934295,0.8863695,2.626881,0.262
Asheville-13-S,2020-11-02,35.4185,-82.5567,0.1245,0.092,0.0894,0.0607,0.1234,0.3142,0.3771,0.365,0.4083,0.2263,0.0047,0.2166,0.1057,-0.6065141,0.97457397,0.012876712,0.98396724,0.89912194,4.082774,0.345
Blackville-3-W,2023-09-18,33.355,-81.3279,0.112,0.0902,0.0869,0.0593,0.1084,0.2644,0.3244,0.2993,0.3587,0.0961,0.001,0.213,0.0958,-0.5499741,0.9933401,0.0033411295,0.9961036,0.9000714,3.4441884,0.263
Austin-33-NW,2023-04-24,30.6222,-98.0846,0.3474,0.3117,0.2926,0.3026,0.3199,0.3655,0.3942,0.3654,0.4167,0.1344,0.0023,0.3594,0.2955,-0.11063827,0.9874898,0.006294472,0.99367344,0.9085503,1.2488037,0.321
Batesville-8-WNW,2022-10-10,35.8201,-91.7812,0.1322,0.1075,0.102,0.1142,0.1612,0.2256,0.2766,0.2445,0.3401,0.0814,0.0014,0.3272,0.1773,-0.41125542,0.9886133,0.0057259714,0.9951143,0.88302815,2.3970587,0.082
Blackville-3-W,2023-08-21,33.355,-81.3279,0.2769,0.1564,0.1576,0.1523,0.207,0.322,0.3973,0.3092,0.4418,0.0696,0.0013,0.3323,0.2345,-0.32476434,0.9916264,0.0042043985,0.9959553,0.9010453,1.9619288,0.096
Asheville-13-S,2020-09-28,35.4185,-82.5567,0.1294,0.0975,0.0993,0.059,0.1165,0.3216,0.4052,0.3806,0.4491,0.084,0.0011,0.2059,0.0856,-0.5861638,0.9942363,0.0028901733,0.99625593,0.91588604,3.83283,0.322
Blackville-3-W,2023-08-14,33.355,-81.3279,0.1312,0.1102,0.1087,0.0925,0.1221,0.2326,0.307,0.2741,0.3462,0.0364,0.0044,0.2735,0.1256,-0.4320794,0.968402,0.016052535,0.984058,0.8775408,2.521619,0.152
Austin-33-NW,2024-11-04,30.6222,-98.0846,0.5834,0.5666,0.5362,0.535,0.5156,0.5358,0.5698,0.5654,0.5981,0.207,0.0032,0.4396,0.3533,-0.026506916,0.9887443,0.0056597097,0.99365216,0.93261695,1.0544573,0.148
Austin-33-NW,2023-03-20,30.6222,-98.0846,0.6421,0.6471,0.6283,0.6551,0.6442,0.656,0.6742,0.6787,0.6781,0.2664,0.0024,0.4793,0.3049,-0.038561564,0.99295264,0.0035361724,0.99586356,0.94407684,1.0802164,0.273
