Estación,Date,Latitud,Longitud,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B8A,NDWI,NDMI,MSI,NMDI,GVMI,SRWI,Humedad_Suelo
Batesville-8-WNW,2023-05-08,35.8201,-91.7812,0.1231,0.1113,0.114,0.0985,0.1396,0.2514,0.3012,0.317,0.3581,0.0635,0.0041,0.2639,0.1401,-0.47099772,0.9744628,0.012933754,0.98598284,0.8907277,2.7807019,0.18
Batesville-8-WNW,2023-02-27,35.8201,-91.7812,0.1275,0.1034,0.1004,0.086,0.1361,0.2579,0.3041,0.2974,0.3287,0.1491,0.0021,0.2612,0.1509,-0.49522373,0.9859767,0.007061197,0.9925094,0.89463645,2.9621513,0.318
Batesville-8-WNW,2023-01-23,35.8201,-91.7812,0.1423,0.1142,0.102,0.0946,0.1452,0.2059,0.2389,0.241,0.2553,0.1346,0.0021,0.2471,0.1557,-0.4052478,0.9827231,0.008713692,0.99143213,0.87827045,2.362745,0.322
Batesville-8-WNW,2022-12-19,35.8201,-91.7812,0.6622,0.6362,0.5831,0.6317,0.6367,0.6422,0.6473,0.6363,0.642,0.3363,0.0138,0.4092,0.2771,-0.04362802,0.9575449,0.021687882,0.973945,0.91221917,1.0912365,0.295
Batesville-8-WNW,2022-11-14,35.8201,-91.7812,0.1351,0.1084,0.0997,0.0908,0.1426,0.2076,0.2443,0.2619,0.2777,0.1097,0.0018,0.2842,0.1769,-0.44856194,0.9863481,0.006872852,0.9934295,0.8863695,2.626881,0.262
Batesville-8-WNW,2022-10-10,35.8201,-91.7812,0.1322,0.1075,0.102,0.1142,0.1612,0.2256,0.2766,0.2445,0.3401,0.0814,0.0014,0.3272,0.1773,-0.41125542,0.9886133,0.0057259714,0.9951143,0.88302815,2.3970587,0.082
Batesville-8-WNW,2022-09-05,35.8201,-91.7812,0.1413,0.12,0.1104,0.0824,0.1219,0.2964,0.3866,0.3356,0.4484,0.071,0.0093,0.2184,0.1062,-0.50493276,0.9460714,0.027711563,0.96698034,0.8739514,3.039855,0.268
Batesville-8-WNW,2022-08-01,35.8201,-91.7812,0.1492,0.1301,0.1205,0.1164,0.1281,0.23,0.2741,0.2311,0.3278,0.0385,0.002,0.2816,0.1496,-0.314562,0.98283994,0.008654263,0.99222845,0.87538934,1.9178423,0.306
Batesville-8-WNW,2022-06-27,35.8201,-91.7812,0.1202,0.1021,0.1057,0.0988,0.1447,0.2526,0.3082,0.3091,0.3582,0.0954,0.0016,0.3068,0.1713,-0.4903568,0.9897007,0.0051763183,0.9948178,0.89969814,2.924314,0.118
Batesville-8-WNW,2022-05-23,35.8201,-91.7812,0.3064,0.2931,0.2789,0.2683,0.2801,0.3979,0.4681,0.4512,0.499,0.0896,0.002,0.3565,0.2576,-0.23599507,0.99117386,0.004432624,0.9950599,0.9232379,1.6177841,0.349
Batesville-8-WNW,2022-04-18,35.8201,-91.7812,0.113,0.0923,0.0921,0.0557,0.1188,0.3271,0.4041,0.3829,0.4353,0.149,0.0014,0.1704,0.076,-0.6122106,0.99271405,0.003656307,0.99495226,0.91512984,4.1574373,0.334
