Estación,Date,Latitud,Longitud,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B8A,NDWI,NDMI,MSI,NMDI,GVMI,SRWI,Humedad_Suelo
Boulder-14-W,2018-06-11,40.0354,-105.5409,0.0937,0.084,0.0866,0.0766,0.1047,0.1983,0.2253,0.2417,0.2416,0.1596,0.0134,0.2013,0.1261,-0.47243372,0.8949432,0.055440627,0.94127965,0.82191414,2.790993,0.073
Boulder-14-W,2018-08-20,40.0354,-105.5409,0.097,0.0735,0.0694,0.0615,0.0852,0.1653,0.1949,0.2146,0.2155,0.1116,0.0024,0.1614,0.0959,-0.51126766,0.97788024,0.011183598,0.98731506,0.86706233,3.092219,0.064
Boulder-14-W,2018-05-07,40.0354,-105.5409,0.2236,0.1503,0.1544,0.1715,0.2421,0.2926,0.3044,0.2754,0.3085,0.1704,0.0146,0.1532,0.1107,-0.2815263,0.8993103,0.053013798,0.9341156,0.83121955,1.7836788,0.28
Boulder-14-W,2018-09-24,40.0354,-105.5409,0.0967,0.0764,0.0715,0.0734,0.1053,0.1464,0.1755,0.205,0.1951,0.1122,0.0027,0.1721,0.1057,-0.482821,0.97400093,0.013170732,0.98578197,0.8614586,2.8671327,0.049
Boulder-14-W,2018-10-29,40.0354,-105.5409,0.1003,0.0774,0.0765,0.0775,0.0943,0.15,0.172,0.1903,0.1927,0.1051,0.0048,0.164,0.1002,-0.42653677,0.9507944,0.025223332,0.9732665,0.8425896,2.4875817,0.162
Boulder-14-W,2018-07-16,40.0354,-105.5409,0.1092,0.0873,0.0864,0.0626,0.1063,0.2344,0.2795,0.2939,0.2964,0.1273,0.0036,0.1916,0.104,-0.5456219,0.9757983,0.012249064,0.9852791,0.8869461,3.4016204,0.196
Boulder-14-W,2019-04-22,40.0354,-105.5409,0.6927,0.6781,0.6432,0.6785,0.6914,0.709,0.7296,0.7127,0.7319,0.4177,0.0113,0.4317,0.2863,-0.051257487,0.96878445,0.015855199,0.9804448,0.92582935,1.1080536,0.253
Boulder-14-W,2019-05-27,40.0354,-105.5409,0.2632,0.2075,0.2108,0.2295,0.2647,0.3304,0.3577,0.3093,0.3661,0.1762,0.0086,0.2379,0.204,-0.18938665,0.94589496,0.027804721,0.9690536,0.86937654,1.4672675,0.271
Boulder-14-W,2019-08-05,40.0354,-105.5409,0.0977,0.0797,0.0797,0.0624,0.0895,0.2104,0.2566,0.2625,0.2751,0.1032,0.001,0.1681,0.0916,-0.53419054,0.99240994,0.0038095242,0.99536616,0.8904824,3.2936008,0.157
Boulder-14-W,2019-10-14,40.0354,-105.5409,0.0979,0.0844,0.0782,0.0838,0.1024,0.1625,0.1782,0.2059,0.2027,0.1251,0.0096,0.1764,0.119,-0.44948962,0.9109049,0.04662458,0.9510079,0.823547,2.6329925,0.058
Boulder-14-W,2019-07-01,40.0354,-105.5409,0.0943,0.0761,0.0771,0.0662,0.0992,0.1936,0.219,0.2433,0.2389,0.1143,0.0013,0.1926,0.1095,-0.51872665,0.98937035,0.0053431974,0.994053,0.8831597,3.155642,0.174
Boulder-14-W,2020-09-28,40.0354,-105.5409,0.096,0.0797,0.0762,0.0853,0.1025,0.1575,0.182,0.2021,0.2074,0.1333,0.0129,0.1706,0.1152,-0.45238954,0.88000005,0.063829795,0.9330913,0.8035821,2.6522307,0.054
Boulder-14-W,2020-11-02,40.0354,-105.5409,0.1563,0.1017,0.0895,0.0923,0.1268,0.1724,0.2033,0.2154,0.217,0.1349,0.004,0.135,0.09,-0.4129223,0.963537,0.018570103,0.97742677,0.85857403,2.4067037,0.091
Boulder-14-W,2020-07-20,40.0354,-105.5409,0.0962,0.0746,0.0757,0.0642,0.0936,0.1867,0.2179,0.2289,0.2412,0.1295,0.0037,0.1891,0.1081,-0.5029547,0.9681857,0.016164264,0.982452,0.86557007,3.023778,0.059
Boulder-14-W,2021-07-05,40.0354,-105.5409,0.0986,0.0815,0.0804,0.0695,0.0939,0.1864,0.2206,0.2275,0.2506,0.0819,0.0011,0.1863,0.1096,-0.4777525,0.9903762,0.0048351646,0.9946975,0.8789443,2.8296022,0.195
Boulder-14-W,2021-09-13,40.0354,-105.5409,0.0933,0.0808,0.0776,0.075,0.1007,0.1756,0.2069,0.2287,0.2354,0.1004,0.0017,0.1795,0.1047,-0.49330723,0.9852431,0.007433319,0.99170524,0.8761416,2.9471648,0.045
Boulder-14-W,2021-05-31,40.0354,-105.5409,0.6046,0.5893,0.5545,0.582,0.5948,0.6159,0.634,0.6149,0.6407,0.3211,0.0075,0.3291,0.231,-0.051650427,0.97589976,0.012197105,0.9842354,0.925916,1.108927,0.222
